assertions_項目1,assertions_項目2,assertions_項目3,assertions_項目4,assertions_項目5,assertions_項目6,assertions_項目7,assertions_項目8,assertions_項目9,assertions_項目10,assertions_項目11,assertions_項目12,assertions_項目13,assertions_項目14,assertions_項目15,assertions_項目16
Data07-Data07_01-,日本語値1,"カンマ,入り1","ダブルクォート ""重要1""","","改行を含む
値1",全20行中1行目,Data07_01-assertions-1-8,Data07_01-assertions-1-9,Data07_01-assertions-1-10,Data07_01-assertions-1-11,Data07_01-assertions-1-12,Data07_01-assertions-1-13,Data07_01-assertions-1-14,Data07_01-assertions-1-15,列数16
Data07-Data07_01-,日本語値2,"カンマ,入り2","ダブルクォート ""重要2""","","改行を含む
値2",全20行中2行目,Data07_01-assertions-2-8,Data07_01-assertions-2-9,Data07_01-assertions-2-10,Data07_01-assertions-2-11,Data07_01-assertions-2-12,Data07_01-assertions-2-13,Data07_01-assertions-2-14,Data07_01-assertions-2-15,列数16
Data07-Data07_01-,日本語値3,"カンマ,入り3","ダブルクォート ""重要3""","","改行を含む
値3",全20行中3行目,Data07_01-assertions-3-8,Data07_01-assertions-3-9,Data07_01-assertions-3-10,Data07_01-assertions-3-11,Data07_01-assertions-3-12,Data07_01-assertions-3-13,Data07_01-assertions-3-14,Data07_01-assertions-3-15,列数16
Data07-Data07_01-,日本語値4,"カンマ,入り4","ダブルクォート ""重要4""","","改行を含む
値4",全20行中4行目,Data07_01-assertions-4-8,Data07_01-assertions-4-9,Data07_01-assertions-4-10,Data07_01-assertions-4-11,Data07_01-assertions-4-12,Data07_01-assertions-4-13,Data07_01-assertions-4-14,Data07_01-assertions-4-15,列数16
Data07-Data07_01-,日本語値5,"カンマ,入り5","ダブルクォート ""重要5""","","改行を含む
値5",全20行中5行目,Data07_01-assertions-5-8,Data07_01-assertions-5-9,Data07_01-assertions-5-10,Data07_01-assertions-5-11,Data07_01-assertions-5-12,Data07_01-assertions-5-13,Data07_01-assertions-5-14,Data07_01-assertions-5-15,列数16
Data07-Data07_01-,日本語値6,"カンマ,入り6","ダブルクォート ""重要6""","","改行を含む
値6",全20行中6行目,Data07_01-assertions-6-8,Data07_01-assertions-6-9,Data07_01-assertions-6-10,Data07_01-assertions-6-11,Data07_01-assertions-6-12,Data07_01-assertions-6-13,Data07_01-assertions-6-14,Data07_01-assertions-6-15,列数16
Data07-Data07_01-,日本語値7,"カンマ,入り7","ダブルクォート ""重要7""","","改行を含む
値7",全20行中7行目,Data07_01-assertions-7-8,Data07_01-assertions-7-9,Data07_01-assertions-7-10,Data07_01-assertions-7-11,Data07_01-assertions-7-12,Data07_01-assertions-7-13,Data07_01-assertions-7-14,Data07_01-assertions-7-15,列数16
Data07-Data07_01-,日本語値8,"カンマ,入り8","ダブルクォート ""重要8""","","改行を含む
値8",全20行中8行目,Data07_01-assertions-8-8,Data07_01-assertions-8-9,Data07_01-assertions-8-10,Data07_01-assertions-8-11,Data07_01-assertions-8-12,Data07_01-assertions-8-13,Data07_01-assertions-8-14,Data07_01-assertions-8-15,列数16
Data07-Data07_01-,日本語値9,"カンマ,入り9","ダブルクォート ""重要9""","","改行を含む
値9",全20行中9行目,Data07_01-assertions-9-8,Data07_01-assertions-9-9,Data07_01-assertions-9-10,Data07_01-assertions-9-11,Data07_01-assertions-9-12,Data07_01-assertions-9-13,Data07_01-assertions-9-14,Data07_01-assertions-9-15,列数16
Data07-Data07_01-,日本語値10,"カンマ,入り10","ダブルクォート ""重要10""","","改行を含む
値10",全20行中10行目,Data07_01-assertions-10-8,Data07_01-assertions-10-9,Data07_01-assertions-10-10,Data07_01-assertions-10-11,Data07_01-assertions-10-12,Data07_01-assertions-10-13,Data07_01-assertions-10-14,Data07_01-assertions-10-15,列数16
Data07-Data07_01-,日本語値11,"カンマ,入り11","ダブルクォート ""重要11""","","改行を含む
値11",全20行中11行目,Data07_01-assertions-11-8,Data07_01-assertions-11-9,Data07_01-assertions-11-10,Data07_01-assertions-11-11,Data07_01-assertions-11-12,Data07_01-assertions-11-13,Data07_01-assertions-11-14,Data07_01-assertions-11-15,列数16
Data07-Data07_01-,日本語値12,"カンマ,入り12","ダブルクォート ""重要12""","","改行を含む
値12",全20行中12行目,Data07_01-assertions-12-8,Data07_01-assertions-12-9,Data07_01-assertions-12-10,Data07_01-assertions-12-11,Data07_01-assertions-12-12,Data07_01-assertions-12-13,Data07_01-assertions-12-14,Data07_01-assertions-12-15,列数16
